Population (Millions of people);2018;2019;2020;2021;2022
Cote D Ivoire;27,006;27,778;28,572;29,389;30,229
Denmark;5,781;5,806;5,823;5,84;5,873
Djibouti;0,959;0,974;0,988;1,002;1,016
Dominica;0,07;0,072;0,073;0,074;0,074
Dominican Republic;10,266;10,358;10,448;10,536;10,622
Ecuador;17,078;17,357;17,526;17,614;17,715
Egypt;97,1;98,9;100,6;102,1;103,6
El Salvador;6,276;6,28;6,293;6,314;6,336
Equatorial Guinea;1,314;1,36;1,406;1,452;1,498
Eritrea;3,453;3,497;no data;no data;no data
Estonia;1,322;1,327;1,33;1,331;1,349
Eswatini;1,104;1,115;1,127;1,139;1,151
Ethiopia;95,5;97,6;99,7;101,9;104,082
Fiji;0,89;0,896;0,901;0,906;0,912
Finland;5,513;5,518;5,525;5,534;5,548
France;64,844;65,097;65,269;65,505;65,722
Gabon;2,053;2,08;2,108;2,135;2,161
Gambia;2,28;2,349;2,419;2,492;2,567
Georgia;3,73;3,724;3,717;3,729;3,689
Germany;82,906;83,093;83,161;83,196;83,798
Ghana;29,555;30,168;30,779;31,394;32,082
Greece;10,741;10,725;10,719;10,679;10,46
Grenada;0,112;0,113;0,113;0,114;0,114
Guatemala;16,347;16,604;16,858;17,11;17,358
Guinea;13,294;13,627;13,967;14,317;14,674
Guinea Bissau;1,738;1,776;1,815;1,855;1,896
Guyana;0,782;0,785;0,787;0,789;0,792
Haiti;11,412;11,578;11,743;11,906;12,065
Honduras;9,602;9,77;9,942;10,117;10,294
China Hong Kong Sar;7,488;7,521;7,427;7,402;7,473
Hungary;9,778;9,773;9,77;9,731;9,689
Iceland;0,342;0,349;0,354;0,358;0,365
India;1369,003;1383,112;1396,387;1407,564;1417,173
Indonesia;264,162;266,912;270,204;272,679;275,72
Iran;82,084;83,075;84,038;84,055;84,904
Iraq;38,124;39,128;40,15;41,191;42,249
Ireland;4,92;4,996;5,054;5,123;5,242
Israel;8,879;9,051;9,214;9,367;9,551
Italy;59,938;59,817;59,641;59,236;59,03
Jamaica;2,731;2,734;2,737;2,74;2,743
Japan;126,495;126,221;125,849;125,492;125,063
Jordan;10,46;10,699;10,929;11,148;11,286
Kazakhstan;18,276;18,514;18,756;19,001;19,635
Kenya;46,4;47,6;48,797;49,747;50,64
Kiribati;0,116;0,118;0,119;0,121;0,123
South Korea;51,585;51,765;51,836;51,77;51,673
Kosovo;1,796;1,782;1,798;1,774;1,762
Kuwait;4,42;4,465;4,336;4,217;4,794
Kyrgyzstan;6,257;6,389;6,517;6,654;6,795
Laos;7,105;7,212;7,319;7,425;7,477
Latvia;1,934;1,92;1,908;1,893;1,876
Lebanon;5,951;5,782;5,663;5,593;5,49
Lesotho;2,034;2,048;2,062;2,087;2,112
Liberia;4,819;4,937;5,058;5,18;5,305
Libya;6,513;6,578;6,644;6,71;6,777
Lithuania;2,802;2,794;2,795;2,801;2,824
Luxembourg;0,602;0,614;0,626;0,635;0,645
China Macao Sar;0,667;0,68;0,683;0,683;0,673
Madagascar;25,674;26,525;27,34;28,178;28,961
Malawi;19,721;20,289;20,873;21,474;22,093
Malaysia;32,382;32,523;32,447;32,576;32,652
Maldives;0,366;0,372;0,378;0,384;0,391
Mali;19,934;20,567;21,23;21,915;22,621
Malta;0,476;0,494;0,515;0,516;0,521
Marshall Islands;0,045;0,044;0,044;0,042;0,041
Mauritania;3,97;4,058;4,147;4,24;4,334
Mauritius;1,266;1,265;1,266;1,264;1,261
Mexico;125,996;127,216;128,209;128,983;129,961
Micronesia;0,1;0,098;0,097;0,096;0,095
Moldova;2,73;2,682;2,634;2,587;2,541
Mongolia;3,238;3,297;3,358;3,41;3,458
Montenegro;no data;no data;no data;no data;no data
Morocco;35,22;35,587;35,952;36,313;36,67
Mozambique;29,424;30,286;31,178;32,077;32,97
Myanmar;52,449;52,832;53,199;53,55;53,886
Namibia;2,541;2,613;2,688;2,77;2,851
Nauru;0,012;0,012;0,012;0,012;0,013
Nepal;28,507;28,832;29,349;30,035;30,548
Netherlands;17,181;17,282;17,408;17,475;17,591
New Zealand;4,902;4,986;5,086;5,111;5,125
Nicaragua;6,485;6,553;6,496;6,539;6,607
Niger;22,443;23,311;24,207;25,131;26,084
Nigeria;195,875;200,964;206,14;211,401;216,747
Macedonia ;1,889;1,876;1,856;1,837;1,832
Norway;5,324;5,357;5,385;5,415;5,475
Oman;4,602;4,618;4,445;4,488;4,934
Pakistan;209,75;213,95;218,24;222,59;227
Palau;0,018;0,018;0,018;0,018;0,018
Panama;4,159;4,219;4,279;4,337;4,395
Papua New Guinea;10,186;10,693;11,224;11,782;12,029
Paraguay;7,053;7,153;7,253;7,353;7,454
Peru;31,562;32,131;32,626;33,035;33,397
Philippines;105,76;107,29;109,2;110,08;110,94
Poland;37,977;37,973;37,958;37,073;36,89
Portugal;10,284;10,286;10,297;10,295;10,299
Puerto Rico;3,2;3,2;3,159;3,2;3,2
Qatar;2,76;2,799;2,834;2,748;2,932
Romania;19,533;19,414;19,329;19,202;19,042
Russia;147,819;147,9;147,708;147,218;146,714
Rwanda;12,09;12,374;12,663;12,956;13,246
Saint Kitts And Nevis;0,048;0,048;0,048;0,048;0,048
Saint Lucia;0,178;0,179;0,179;0,18;0,181
Saint Vincent And the Grenadines;0,111;0,111;0,111;0,111;0,111
Samoa;0,2;0,204;0,202;0,203;0,205
San Marino;0,033;0,034;0,034;0,034;0,034
Saudi Arabia;30,196;30,064;31,553;30,784;32,175
Senegal;15,854;16,296;16,744;17,204;17,676
Serbia;6,983;6,945;6,899;6,834;6,664
Seychelles;0,095;0,096;0,097;0,098;0,099
Sierra Leone;7,65;7,813;7,977;8,141;8,309
Singapore;5,639;5,704;5,686;5,454;5,637
Slovakia;5,443;5,45;5,458;5,46;5,435
Slovenia;2,067;2,081;2,096;2,109;2,107
Solomon Islands;0,695;0,711;0,725;0,74;0,754
Somalia;13,981;14,373;14,775;15,189;15,614
South Africa;58,233;59,131;60,003;60,642;61,356
South Sudan;12,976;13,378;13,779;14,179;14,59
Spain;46,729;47,105;47,356;47,331;47,615
Sri Lanka;21,67;21,803;21,919;22,156;22,396
Sudan;41,985;43,222;44,345;45,498;46,681
Suriname;0,59;0,598;0,609;0,618;0,628
Sweden;10,23;10,328;10,379;10,452;10,522
Switzerland;8,484;8,545;8,606;8,67;8,739
Syria;no data;no data;no data;no data;no data
Sao Tome And Principe;0,209;0,213;0,218;0,223;0,227
Taiwan;23,589;23,603;23,561;23,375;23,334
Tajikistan;9,107;9,292;9,475;9,657;9,836
Tanzania;54,68;56,322;58,001;59,73;61,51
Thailand;69,428;69,626;69,8;69,951;70,078
Timor Leste;1,253;1,271;1,29;1,31;1,332
Togo;8,047;8,243;8,443;8,647;8,856
Tonga;0,1;0,1;0,1;0,1;0,1
Trinidad And Tobago;1,39;1,395;1,399;1,407;1,414
Tunisia;11,659;11,783;11,903;12,019;12,129
Turkmenistan;6,065;6,158;6,25;6,342;6,431
Tuvalu;0,011;0,01;0,01;0,01;0,011
Turkey;82,004;83,155;83,614;84,68;85,28
